,日期,星期,最高温度,最低温度,天气,风向
3421,2020/5/28, 星期四 ,27℃,17℃,晴转多云,南风 2级
3422,2020/5/29, 星期五 ,28℃,18℃,晴,南风 2级
3423,2020/5/30, 星期六 ,30℃,19℃,多云转阴,东南风 2级
3424,2020/5/31, 星期日 ,30℃,22℃,晴转多云,东南风 2级
3425,2020/6/1, 星期一 ,28℃,20℃,多云,北风 2级
3426,2020/6/2, 星期二 ,24℃,21℃,多云转多云,北风 3级
3427,2020/6/3, 星期三 ,30℃,20℃,多云,南风 2级
3428,2020/6/4, 星期四 ,30℃,19℃,多云,东南风 2级
3429,2020/6/5, 星期五 ,33℃,21℃,多云,东南风 2级
3430,2020/6/6, 星期六 ,32℃,22℃,小雨,东南风 2级
3431,2020/6/7, 星期日 ,28℃,22℃,小雨,东北风 2级
3432,2020/6/8, 星期一 ,27℃,22℃,阴,东北风 2级
3433,2020/6/9, 星期二 ,31℃,22℃,晴,东南风 2级
3434,2020/6/10, 星期三 ,31℃,21℃,阴,东南风 2级
3435,2020/6/11, 星期四 ,29℃,24℃,多云,北风 2级
3436,2020/6/12, 星期五 ,33℃,25℃,多云,北风 1级
3437,2020/6/13, 星期六 ,32℃,25℃,多云,东北风 2级
3438,2020/6/14, 星期日 ,33℃,23℃,多云,东北风 2级
3439,2020/6/15, 星期一 ,32℃,24℃,阴,东北风 2级
3440,2020/6/16, 星期二 ,28℃,24℃,阴,东北风 3级
3441,2020/6/17, 星期三 ,27℃,22℃,多云,西风 2级
3442,2020/6/18, 星期四 ,31℃,21℃,晴,东南风 2级
3443,2020/6/19, 星期五 ,31℃,22℃,阴,东南风 2级
3444,2020/6/20, 星期六 ,29℃,23℃,阴,东风 2级
3445,2020/6/21, 星期日 ,29℃,22℃,阴,南风 2级
3446,2020/6/22, 星期一 ,29℃,23℃,阴,西风 2级
3447,2020/6/23, 星期二 ,30℃,23℃,多云,南风 2级
3448,2020/6/24, 星期三 ,33℃,22℃,多云,东南风 2级
3449,2020/6/25, 星期四 ,33℃,24℃,多云,南风 2级
3450,2020/6/26, 星期五 ,29℃,22℃,小雨,北风 3级
3451,2020/6/27, 星期六 ,29℃,22℃,多云,东北风 2级
3452,2020/6/28, 星期日 ,30℃,24℃,多云,西南风 2级
3453,2020/6/29, 星期一 ,33℃,25℃,多云,东南风 1级
3454,2020/6/30, 星期二 ,34℃,27℃,多云,东风 2级
3455,2020/7/1, 星期三 ,29℃,23℃,晴,东北风 2级
3456,2020/7/2, 星期四 ,33℃,23℃,晴,南风 2级
3457,2020/7/3, 星期五 ,33℃,24℃,小雨,东风 2级
3458,2020/7/4, 星期六 ,31℃,25℃,多云,西南风 2级
3459,2020/7/5, 星期日 ,29℃,24℃,小雨,东北风 2级
3460,2020/7/6, 星期一 ,31℃,23℃,多云,东南风 2级
3461,2020/7/7, 星期二 ,30℃,24℃,多云,东风 2级
3462,2020/7/8, 星期三 ,32℃,25℃,阴,东南风 2级
3463,2020/7/9, 星期四 ,31℃,25℃,阴,北风 1级
3464,2020/7/10, 星期五 ,27℃,21℃,阴,东北风 2级
3465,2020/7/11, 星期六 ,27℃,22℃,阴,东北风 2级
3466,2020/7/12, 星期日 ,32℃,23℃,多云,西风 2级
3467,2020/7/13, 星期一 ,30℃,23℃,多云,南风 2级
3468,2020/7/14, 星期二 ,30℃,24℃,多云,东北风 3级
3469,2020/7/15, 星期三 ,27℃,24℃,阴,东北风 2级
3470,2020/7/16, 星期四 ,29℃,23℃,多云,东北风 2级
3471,2020/7/17, 星期五 ,33℃,24℃,多云,东南风 2级
3472,2020/7/18, 星期六 ,30℃,25℃,晴,东北风 2级
3473,2020/7/19, 星期日 ,34℃,22℃,多云,东南风 2级
3474,2020/7/20, 星期一 ,29℃,23℃,小雨,东南风 2级
3475,2020/7/21, 星期二 ,25℃,21℃,小雨,东北风 2级
3476,2020/7/22, 星期三 ,28℃,22℃,阴,东北风 1级
3477,2020/7/23, 星期四 ,29℃,23℃,多云,东北风 2级
3478,2020/7/24, 星期五 ,27℃,24℃,多云,东北风 2级
3479,2020/7/25, 星期六 ,27℃,23℃,多云,东北风 3级
3480,2020/7/26, 星期日 ,31℃,21℃,晴,南风 2级
3481,2020/7/27, 星期一 ,34℃,23℃,晴,东风 2级
3482,2020/7/28, 星期二 ,33℃,24℃,多云,东风 2级
3483,2020/7/29, 星期三 ,29℃,23℃,多云,北风 2级
3484,2020/7/30, 星期四 ,25℃,21℃,阴,北风 2级
3485,2020/7/31, 星期五 ,26℃,20℃,多云,东北风 2级
3486,2020/8/1, 星期六 ,28℃,23℃,多云,东风 1级
3487,2020/8/2, 星期日 ,31℃,24℃,多云,东北风 2级
3488,2020/8/3, 星期一 ,33℃,24℃,多云,东南风 2级
3489,2020/8/4, 星期二 ,33℃,24℃,阴,东风 2级
3490,2020/8/5, 星期三 ,34℃,26℃,多云,东北风 2级
3491,2020/8/6, 星期四 ,34℃,26℃,小雨,东风 2级
3492,2020/8/7, 星期五 ,29℃,25℃,阴,东南风 2级
3493,2020/8/8, 星期六 ,35℃,24℃,小雨到中雨,南风 1级
3494,2020/8/9, 星期日 ,35℃,25℃,多云,东风 1级
3495,2020/8/10, 星期一 ,35℃,25℃,多云,东北风 2级
3496,2020/8/11, 星期二 ,28℃,25℃,多云,北风 3级
3497,2020/8/12, 星期三 ,26℃,21℃,多云,东北风 3级
3498,2020/8/13, 星期四 ,24℃,21℃,阴到小雨,东北风 2级
3499,2020/8/14, 星期五 ,29℃,21℃,多云,东北风 2级
3500,2020/8/15, 星期六 ,26℃,23℃,小雨,东北风 3级
3501,2020/8/16, 星期日 ,26℃,22℃,阴到中雨,北风 3级
3502,2020/8/17, 星期一 ,26℃,20℃,多云,东北风 3级
3503,2020/8/18, 星期二 ,23℃,19℃,阴,西北风 2级
3504,2020/8/19, 星期三 ,25℃,19℃,多云,东南风 2级
3505,2020/8/20, 星期四 ,29℃,19℃,晴,南风 1级
3506,2020/8/21, 星期五 ,31℃,21℃,阴,东风 1级
3507,2020/8/22, 星期六 ,27℃,23℃,多云,北风 2级
3508,2020/8/23, 星期日 ,27℃,21℃,中雨,东北风 3级
3509,2020/8/24, 星期一 ,31℃,21℃,晴,西风 3级
3510,2020/8/25, 星期二 ,31℃,21℃,晴,南风 2级
3511,2020/8/26, 星期三 ,32℃,22℃,晴,南风 2级
3512,2020/8/27, 星期四 ,33℃,23℃,多云,东南风 1级
3513,2020/8/28, 星期五 ,32℃,24℃,多云,东北风 2级
3514,2020/8/29, 星期六 ,31℃,24℃,阴,东北风 2级
3515,2020/8/30, 星期日 ,28℃,23℃,多云,东北风 3级
3516,2020/8/31, 星期一 ,28℃,20℃,多云,北风 2级
3517,2020/9/1, 星期二 ,27℃,21℃,多云,东北风 1级
3518,2020/9/2, 星期三 ,31℃,22℃,晴,东北风 2级
3519,2020/9/3, 星期四 ,31℃,21℃,晴,东北风 2级
3520,2020/9/4, 星期五 ,27℃,21℃,多云,东风 2级
3521,2020/9/5, 星期六 ,27℃,20℃,阴,东北风 2级
3522,2020/9/6, 星期日 ,31℃,20℃,晴,西风 1级
3523,2020/9/7, 星期一 ,31℃,21℃,晴,东南风 2级
3524,2020/9/8, 星期二 ,28℃,22℃,阴,北风 1级
3525,2020/9/9, 星期三 ,25℃,21℃,多云,东北风 2级
3526,2020/9/10, 星期四 ,30℃,21℃,多云,东北风 1级
3527,2020/9/11, 星期五 ,25℃,18℃,阴,东北风 2级
3528,2020/9/12, 星期六 ,24℃,18℃,阴,东北风 2级
3529,2020/9/13, 星期日 ,24℃,17℃,阴,东北风 1级
3530,2020/9/14, 星期一 ,23℃,18℃,晴,东北风 1级
3531,2020/9/15, 星期二 ,24℃,19℃,阴,西北风 1级
3532,2020/9/16, 星期三 ,22℃,17℃,阴,北风 2级
3533,2020/9/17, 星期四 ,25℃,17℃,小雨,西南风 3级
3534,2020/9/18, 星期五 ,26℃,18℃,阴,南风 1级
3535,2020/9/19, 星期六 ,23℃,19℃,阴转雨,东北风 2级
3536,2020/9/20, 星期日 ,20℃,18℃,阴,东北风 2级
3537,2020/9/21, 星期一 ,20℃,17℃,阴,东北风 1级
3538,2020/9/22, 星期二 ,24℃,18℃,多云,南风 2级
3539,2020/9/23, 星期三 ,24℃,18℃,阴,东南风 1级
3540,2020/9/24, 星期四 ,19℃,18℃,小雨,北风 2级
3541,2020/9/25, 星期五 ,19℃,16℃,阴,东北风 3级
3542,2020/9/26, 星期六 ,19℃,17℃,小雨,东北风 2级
3543,2020/9/27, 星期日 ,21℃,16℃,阴,东风 2级
3544,2020/9/28, 星期一 ,19℃,17℃,多云,东北风 2级
3545,2020/9/29, 星期二 ,27℃,18℃,晴,南风 2级
3546,2020/9/30, 星期三 ,23℃,19℃,阴,东北风 2级
3547,2020/10/1, 星期四 ,21℃,18℃,小雨,东北风 2级
3548,2020/10/2, 星期五 ,22℃,17℃,阴,东北风 2级
3549,2020/10/3, 星期六 ,21℃,16℃,阴转雨,东风 1级
3550,2020/10/4, 星期日 ,20℃,14℃,阴,东北风 1级
3551,2020/10/5, 星期一 ,18℃,13℃,阴,东北风 2级
3552,2020/10/6, 星期二 ,18℃,13℃,阴,东风 2级
3553,2020/10/7, 星期三 ,19℃,15℃,阴,东南风 1级
3554,2020/10/8, 星期四 ,19℃,15℃,多云,东风 2级
3555,2020/10/9, 星期五 ,18℃,15℃,多云,东风 2级
3556,2020/10/10, 星期六 ,19℃,15℃,晴,东风 2级
3557,2020/10/11, 星期日 ,19℃,15℃,阴,东南风 1级
3558,2020/10/12, 星期一 ,19℃,14℃,阴,东北风 1级
3559,2020/10/13, 星期二 ,18℃,14℃,阴,东北风 2级
3560,2020/10/14, 星期三 ,18℃,12℃,阴,东北风 1级
3561,2020/10/15, 星期四 ,17℃,12℃,阴,东风 1级
3562,2020/10/16, 星期五 ,20℃,12℃,阴,南风 2级
3563,2020/10/17, 星期六 ,17℃,12℃,阴,东风 2级
3564,2020/10/18, 星期日 ,18℃,13℃,阴,东南风 2级
3565,2020/10/19, 星期一 ,18℃,13℃,阴,南风 2级
3566,2020/10/20, 星期二 ,15℃,11℃,多云,西南风 2级
3567,2020/10/21, 星期三 ,22℃,11℃,晴,南风 2级
3568,2020/10/22, 星期四 ,20℃,12℃,晴,南风 1级
3569,2020/10/23, 星期五 ,19℃,15℃,阴,东南风 1级
3570,2020/10/24, 星期六 ,20℃,15℃,多云,北风 2级
3571,2020/10/25, 星期日 ,20℃,16℃,多云,东风 2级
3572,2020/10/26, 星期一 ,19℃,14℃,阴,东南风 1级
3573,2020/10/27, 星期二 ,15℃,12℃,阴,东北风 2级
3574,2020/10/28, 星期三 ,18℃,12℃,多云,东南风 1级
3575,2020/10/29, 星期四 ,18℃,13℃,多云,东风 2级
3576,2020/10/30, 星期五 ,16℃,15℃,阴,东风 2级
3577,2020/10/31, 星期六 ,18℃,13℃,阴,西风 1级
3578,2020/11/1, 星期日 ,19℃,11℃,阴,东南风 1级
3579,2020/11/2, 星期一 ,20℃,13℃,阴,东南风 2级
3580,2020/11/3, 星期二 ,16℃,12℃,多云,东风 2级
3581,2020/11/4, 星期三 ,14℃,12℃,阴,东北风 2级
3582,2020/11/5, 星期四 ,15℃,12℃,阴,东风 1级
3583,2020/11/6, 星期五 ,21℃,11℃,多云,南风 2级
3584,2020/11/7, 星期六 ,22℃,12℃,多云,东南风 1级
3585,2020/11/8, 星期日 ,20℃,13℃,多云,东南风 1级
3586,2020/11/9, 星期一 ,21℃,14℃,阴,南风 2级
3587,2020/11/10, 星期二 ,17℃,14℃,多云,东南风 2级
3588,2020/11/11, 星期三 ,19℃,15℃,阴,东北风 1级
3589,2020/11/12, 星期四 ,20℃,15℃,多云,东风 1级
3590,2020/11/13, 星期五 ,18℃,10℃,多云,东北风 1级
3591,2020/11/14, 星期六 ,21℃,16℃,阴,东风 1级
3592,2020/11/15, 星期日 ,18℃,13℃,晴,东风 2级
3593,2020/11/16, 星期一 ,16℃,15℃,晴,东北风 1级
3594,2020/11/17, 星期二 ,19℃,12℃,多云,东北风 2级
3595,2020/11/18, 星期三 ,19℃,10℃,多云,北风 2级
3596,2020/11/19, 星期四 ,20℃,11℃,晴,东南风 2级
3597,2020/11/20, 星期五 ,17℃,12℃,阴,东北风 2级
3598,2020/11/21, 星期六 ,6℃,3℃,阴,东北风 3级
3599,2020/11/22, 星期日 ,7℃,6℃,阴,东北风 2级
3600,2020/11/23, 星期一 ,7℃,5℃,阴,东风 2级
3601,2020/11/24, 星期二 ,7℃,6℃,阴,东风 1级
3602,2020/11/25, 星期三 ,10℃,7℃,多云,东风 1级
3603,2020/11/26, 星期四 ,13℃,7℃,阴,东南风 2级
3604,2020/11/27, 星期五 ,10℃,8℃,阴,东风 2级
3605,2020/11/28, 星期六 ,12℃,5℃,晴,南风 2级
3606,2020/11/29, 星期日 ,8℃,7℃,晴,东风 2级
3607,2020/11/30, 星期一 ,8℃,7℃,阴,东南风 1级
3608,2020/12/1, 星期二 ,9℃,7℃,阴,东南风 1级
3609,2020/12/2, 星期三 ,11℃,6℃,阴,东北风 2级
3610,2020/12/3, 星期四 ,7℃,5℃,阴,东北风 2级
3611,2020/12/4, 星期五 ,6℃,4℃,阴,东北风 2级
3612,2020/12/5, 星期六 ,6℃,5℃,阴,东风 2级
3613,2020/12/6, 星期日 ,8℃,6℃,阴,东北风 2级
3614,2020/12/7, 星期一 ,9℃,5℃,多云,东风 2级
3615,2020/12/8, 星期二 ,9℃,6℃,阴,东风 1级
3616,2020/12/9, 星期三 ,8℃,5℃,晴,东北风 2级
3617,2020/12/10, 星期四 ,10℃,6℃,多云,东风 2级
3618,2020/12/11, 星期五 ,12℃,3℃,晴,东北风 1级
3619,2020/12/12, 星期六 ,11℃,5℃,阴,东风 1级
3620,2020/12/13, 星期日 ,9℃,4℃,阴,东北风 3级
3621,2020/12/14, 星期一 ,6℃,4℃,阴,东风 2级
3622,2020/12/15, 星期二 ,6℃,3℃,阴,东北风 2级
3623,2020/12/16, 星期三 ,5℃,3℃,阴,东风 1级
3624,2020/12/17, 星期四 ,6℃,2℃,多云,东北风 2级
3625,2020/12/18, 星期五 ,7℃,3℃,多云,东风 2级
3626,2020/12/19, 星期六 ,9℃,0℃,多云,东风 1级
3627,2020/12/20, 星期日 ,7℃,0℃,晴,西南风 1级
3628,2020/12/21, 星期一 ,7℃,1℃,晴,南风 1级
3629,2020/12/22, 星期二 ,7℃,3℃,多云,东南风 2级
3630,2020/12/23, 星期三 ,12℃,2℃,晴,西南风 2级
3631,2020/12/24, 星期四 ,12℃,4℃,阴,东南风 1级
3632,2020/12/25, 星期五 ,11℃,5℃,阴,东风 2级
3633,2020/12/26, 星期六 ,12℃,2℃,晴,南风 1级
3634,2020/12/27, 星期日 ,11℃,4℃,霾,东南风 2级
3635,2020/12/28, 星期一 ,7℃,6℃,霾,东风 2级
3636,2020/12/29, 星期二 ,7℃,1℃,晴,东北风 2级
3637,2020/12/30, 星期三 ,5℃,2℃,多云,东北风 2级
3638,2020/12/31, 星期四 ,8℃,0℃,晴,东风 2级
3639,2021/1/1, 星期五 ,7℃,1℃,阴,东南风 1级
3640,2021/1/2, 星期六 ,5℃,3℃,晴,东风 1级
3641,2021/1/3, 星期日 ,11℃,3℃,多云,东南风 2级
3642,2021/1/4, 星期一 ,3℃,-5℃,晴,北风 2级
3643,2021/1/5, 星期二 ,11℃,4℃,阴,东风 2级
3644,2021/1/6, 星期三 ,6℃,1℃,阴,东风 2级
3645,2021/1/7, 星期四 ,4℃,0℃,阴,东北风 3级
3646,2021/1/8, 星期五 ,5℃,0℃,晴,西南风 1级
3647,2021/1/9, 星期六 ,2℃,1℃,晴,东南风 1级
3648,2021/1/10, 星期日 ,4℃,0℃,多云,东北风 2级
3649,2021/1/11, 星期一 ,7℃,-1℃,多云,西风 2级
3650,2021/1/12, 星期二 ,8℃,-1℃,晴,南风 1级
3651,2021/1/13, 星期三 ,10℃,0℃,晴,南风 1级
3652,2021/1/14, 星期四 ,12℃,1℃,多云,南风 1级
3653,2021/1/15, 星期五 ,14℃,3℃,阴,东北风 2级
3654,2021/1/16, 星期六 ,10℃,2℃,多云,东北风 4级
3655,2021/1/17, 星期日 ,11℃,0℃,晴,南风 2级
3656,2021/1/18, 星期一 ,11℃,0℃,多云,东南风 2级
3657,2021/1/19, 星期二 ,8℃,1℃,阴,东北风 1级
3658,2021/1/20, 星期三 ,9℃,5℃,多云,东风 2级
3659,2021/1/21, 星期四 ,13℃,5℃,阴,南风 2级
3660,2021/1/22, 星期五 ,16℃,5℃,阴,南风 2级
3661,2021/1/23, 星期六 ,10℃,7℃,阴,东风 2级
3662,2021/1/24, 星期日 ,10℃,8℃,阴,东北风 2级
3663,2021/1/25, 星期一 ,9℃,4℃,多云,西风 2级
3664,2021/1/26, 星期二 ,13℃,7℃,多云,东风 2级
3665,2021/1/27, 星期三 ,12℃,5℃,多云,西北风 1级
3666,2021/1/28, 星期四 ,13℃,6℃,多云,东风 2级
3667,2021/1/29, 星期五 ,8℃,6℃,阴,东北风 2级
3668,2021/1/30, 星期六 ,14℃,7℃,阴,东风 1级
3669,2021/1/31, 星期日 ,15℃,4℃,晴,南风 2级
3670,2021/2/1, 星期一 ,15℃,7℃,多云,南风 2级
3671,2021/2/2, 星期二 ,8℃,5℃,多云,西南风 1级
3672,2021/2/3, 星期三 ,12℃,4℃,阴,西南风 2级
3673,2021/2/4, 星期四 ,11℃,8℃,晴,东北风 2级
3674,2021/2/5, 星期五 ,17℃,5℃,多云,南风 1级
3675,2021/2/6, 星期六 ,15℃,5℃,晴,东南风 1级
3676,2021/2/7, 星期日 ,19℃,6℃,晴,东风 1级
3677,2021/2/8, 星期一 ,16℃,8℃,阴,东南风 2级
3678,2021/2/9, 星期二 ,15℃,7℃,阴,东风 1级
3679,2021/2/10, 星期三 ,17℃,10℃,阴,南风 2级
3680,2021/2/11, 星期四 ,18℃,8℃,多云,东南风 2级
3681,2021/2/12, 星期五 ,18℃,10℃,多云,东南风 2级
3682,2021/2/13, 星期六 ,17℃,6℃,晴,东北风 2级
3683,2021/2/14, 星期日 ,19℃,10℃,阴,东南风 2级
3684,2021/2/15, 星期一 ,14℃,7℃,多云,东北风 3级
3685,2021/2/16, 星期二 ,19℃,8℃,阴,西南风 2级
3686,2021/2/17, 星期三 ,18℃,8℃,阴,东风 2级
3687,2021/2/18, 星期四 ,17℃,9℃,阴,西南风 2级
3688,2021/2/19, 星期五 ,19℃,8℃,晴,西南风 2级
3689,2021/2/20, 星期六 ,19℃,8℃,晴,南风 2级
3690,2021/2/21, 星期日 ,21℃,11℃,晴,东南风 2级
3691,2021/2/22, 星期一 ,22℃,10℃,多云,北风 1级
3692,2021/2/23, 星期二 ,23℃,14℃,多云,东南风 2级
3693,2021/2/24, 星期三 ,21℃,15℃,阴,东北风 2级
3694,2021/2/25, 星期四 ,13℃,9℃,阴,东北风 2级
3695,2021/2/26, 星期五 ,10℃,9℃,阴,东风 2级
3696,2021/2/27, 星期六 ,9℃,8℃,阴,东北风 2级
3697,2021/2/28, 星期日 ,8℃,7℃,阴,东北风 2级
3698,2021/3/1, 星期一 ,13℃,7℃,阴,西风 2级
3699,2021/3/2, 星期二 ,11℃,4℃,多云,南风 2级
3700,2021/3/3, 星期三 ,14℃,8℃,多云,南风 2级
3701,2021/3/4, 星期四 ,11℃,10℃,阴,西风 2级
3702,2021/3/5, 星期五 ,17℃,12℃,阴,东风 2级
3703,2021/3/6, 星期六 ,19℃,9℃,阴,南风 2级
3704,2021/3/7, 星期日 ,13℃,10℃,阴,东风 2级
3705,2021/3/8, 星期一 ,15℃,9℃,多云,东南风 2级
3706,2021/3/9, 星期二 ,14℃,11℃,阴,西南风 1级
3707,2021/3/10, 星期三 ,12℃,10℃,阴,东风 2级
3708,2021/3/11, 星期四 ,15℃,12℃,阴,东南风 1级
3709,2021/3/12, 星期五 ,15℃,11℃,晴,东北风 2级
3710,2021/3/13, 星期六 ,21℃,13℃,阴,西南风 1级
3711,2021/3/14, 星期日 ,18℃,12℃,阴,东北风 2级
3712,2021/3/15, 星期一 ,24℃,13℃,多云,西南风 1级
3713,2021/3/16, 星期二 ,24℃,16℃,多云,东风 2级
3714,2021/3/17, 星期三 ,19℃,16℃,阴,东北风 2级
3715,2021/3/18, 星期四 ,22℃,15℃,阴,东北风 2级
3716,2021/3/19, 星期五 ,14℃,10℃,阴,东北风 3级
3717,2021/3/20, 星期六 ,10℃,8℃,阴,南风 2级
3718,2021/3/21, 星期日 ,15℃,6℃,晴,西南风 2级
3719,2021/3/22, 星期一 ,14℃,7℃,阴,东南风 2级
3720,2021/3/23, 星期二 ,18℃,8℃,晴,南风 2级
3721,2021/3/24, 星期三 ,13℃,13℃,阴,东北风 2级
3722,2021/3/25, 星期四 ,15℃,13℃,阴,东北风 2级
3723,2021/3/26, 星期五 ,18℃,12℃,多云,西风 2级
3724,2021/3/27, 星期六 ,24℃,11℃,晴,南风 2级
3725,2021/3/28, 星期日 ,25℃,13℃,晴,东南风 2级
3726,2021/3/29, 星期一 ,27℃,17℃,阴,东北风 2级
3727,2021/3/30, 星期二 ,26℃,17℃,阴,东北风 2级
3728,2021/3/31, 星期三 ,19℃,14℃,小雨,东北风 2级
3729,2021/4/1, 星期四 ,16℃,12℃,阴,东北风 2级
3730,2021/4/2, 星期五 ,16℃,12℃,阴,西风 1级
3731,2021/4/3, 星期六 ,20℃,11℃,阴,东风 2级
3732,2021/4/4, 星期日 ,15℃,11℃,阴,东北风 2级
3733,2021/4/5, 星期一 ,15℃,12℃,阴,东风 2级
3734,2021/4/6, 星期二 ,13℃,13℃,阴,东北风 2级
3735,2021/4/7, 星期三 ,22℃,14℃,阴,南风 2级
3736,2021/4/8, 星期四 ,19℃,14℃,多云,东北风 2级
3737,2021/4/9, 星期五 ,15℃,12℃,阴,东北风 2级
3738,2021/4/10, 星期六 ,15℃,11℃,小雨,东北风 2级
3739,2021/4/11, 星期日 ,18℃,12℃,多云,东北风 1级
3740,2021/4/12, 星期一 ,21℃,15℃,小雨,东南风 1级
3741,2021/4/13, 星期二 ,19℃,13℃,小雨,东风 2级
3742,2021/4/14, 星期三 ,19℃,11℃,晴,东北风 1级
3743,2021/4/15, 星期四 ,18℃,13℃,阴,西北风 2级
3744,2021/4/16, 星期五 ,23℃,13℃,阴,西南风 2级
3745,2021/4/17, 星期六 ,17℃,13℃,阴,东南风 2级
3746,2021/4/18, 星期日 ,17℃,12℃,阴,东风 2级
3747,2021/4/19, 星期一 ,16℃,14℃,阴,东风 1级
3748,2021/4/20, 星期二 ,22℃,14℃,阴,西风 1级
3749,2021/4/21, 星期三 ,22℃,15℃,多云,东南风 2级
3750,2021/4/22, 星期四 ,22℃,17℃,阴,东北风 1级
3751,2021/4/23, 星期五 ,26℃,16℃,阴,东北风 2级
3752,2021/4/24, 星期六 ,21℃,15℃,小雨转多云,东北风 2级
3753,2021/4/25, 星期日 ,22℃,13℃,阴,东北风 2级
3754,2021/4/26, 星期一 ,23℃,15℃,小雨,南风 2级
3755,2021/4/27, 星期二 ,25℃,14℃,小雨到中雨,北风 2级
3756,2021/4/28, 星期三 ,21℃,12℃,晴,东北风 2级
3757,2021/4/29, 星期四 ,25℃,16℃,晴,南风 2级
3758,2021/4/30, 星期五 ,30℃,16℃,晴,北风 1级
3759,2021/5/1, 星期六 ,31℃,21℃,阴,东南风 2级
3760,2021/5/2, 星期日 ,32℃,19℃,多云,东北风 3级
3761,2021/5/3, 星期一 ,28℃,17℃,多云,东北风 2级
3762,2021/5/4, 星期二 ,22℃,15℃,小雨转阴,北风 2级
3763,2021/5/5, 星期三 ,24℃,14℃,小雨转阴,东风 2级
3764,2021/5/6, 星期四 ,26℃,16℃,阴,南风 1级
3765,2021/5/7, 星期五 ,25℃,18℃,多云,南风 2级
3766,2021/5/8, 星期六 ,28℃,18℃,晴,南风 2级
3767,2021/5/9, 星期日 ,29℃,21℃,阴,东南风 2级
3768,2021/5/10, 星期一 ,23℃,19℃,多云,北风 2级
3769,2021/5/11, 星期二 ,28℃,19℃,阴,东风 2级
3770,2021/5/12, 星期三 ,25℃,20℃,阴,东风 2级
3771,2021/5/13, 星期四 ,22℃,20℃,阴,东南风 3级
3772,2021/5/14, 星期五 ,24℃,18℃,小雨转阴,东北风 2级
3773,2021/5/15, 星期六 ,26℃,16℃,阴转小雨,东北风 2级
3774,2021/5/16, 星期日 ,24℃,16℃,阴,西风 2级
3775,2021/5/17, 星期一 ,25℃,16℃,小雨,南风 2级
3776,2021/5/18, 星期二 ,25℃,17℃,小雨到中雨,西南风 2级
3777,2021/5/19, 星期三 ,25℃,18℃,多云,西风 2级
3778,2021/5/20, 星期四 ,27℃,18℃,阴,西南风 2级
3779,2021/5/21, 星期五 ,22℃,17℃,小雨转阴,东南风 2级
3780,2021/5/22, 星期六 ,23℃,17℃,小雨转阴,东北风 2级
3781,2021/5/23, 星期日 ,19℃,17℃,阴,西北风 3级
3782,2021/5/24, 星期一 ,26℃,17℃,多云转小雨,东南风 2级
3783,2021/5/25, 星期二 ,19℃,16℃,小雨,东风 2级
3784,2021/5/26, 星期三 ,22℃,18℃,阴,西南风 2级
3785,2021/5/27, 星期四 ,26℃,18℃,多云,东南风 2级
3786,2021/5/28, 星期五 ,26℃,18℃,多云,南风 2级
3787,2021/5/29, 星期六 ,26℃,20℃,阴,西南风 2级
3788,2021/5/30, 星期日 ,27℃,20℃,阴,南风 2级
3789,2021/5/31, 星期一 ,31℃,21℃,多云,东南风 2级
3790,2021/6/1, 星期二 ,27℃,21℃,多云,西北风 2级
3791,2021/6/2, 星期三 ,30℃,20℃,小雨转阴,东风 2级
3792,2021/6/3, 星期四 ,25℃,16℃,阴转小雨,西北风 3级
3793,2021/6/4, 星期五 ,29℃,18℃,阴到小雨,南风 2级
3794,2021/6/5, 星期六 ,31℃,19℃,多云,西南风 2级
3795,2021/6/6, 星期日 ,28℃,21℃,阴,南风 2级
3796,2021/6/7, 星期一 ,23℃,20℃,阴,西风 2级
3797,2021/6/8, 星期二 ,22℃,18℃,小雨,西南风 3级
3798,2021/6/9, 星期三 ,22℃,18℃,阴,南风 2级
3799,2021/6/10, 星期四 ,28℃,20℃,多云,南风 2级
3800,2021/6/11, 星期五 ,27℃,22℃,多云,东南风 1级
3801,2021/6/12, 星期六 ,25℃,23℃,多云,东风 2级
3802,2021/6/13, 星期日 ,25℃,23℃,小雨,东风 2级
3803,2021/6/14, 星期一 ,26℃,22℃,阴,东风 2级
3804,2021/6/15, 星期二 ,30℃,23℃,阴,东北风 2级
3805,2021/6/16, 星期三 ,25℃,20℃,阴,东北风 3级
3806,2021/6/17, 星期四 ,22℃,18℃,阴,东北风 2级
3807,2021/6/18, 星期五 ,25℃,19℃,阴,南风 1级
3808,2021/6/19, 星期六 ,28℃,20℃,阴,东南风 1级
3809,2021/6/20, 星期日 ,27℃,21℃,多云,东南风 2级
3810,2021/6/21, 星期一 ,27℃,22℃,晴,南风 1级
3811,2021/6/22, 星期二 ,32℃,22℃,多云,东南风 2级
3812,2021/6/23, 星期三 ,31℃,23℃,多云,东风 2级
3813,2021/6/24, 星期四 ,21℃,21℃,阴,东北风 2级
3814,2021/6/25, 星期五 ,27℃,21℃,阴,东北风 1级
3815,2021/6/26, 星期六 ,27℃,22℃,阴,东风 2级
3816,2021/6/27, 星期日 ,32℃,24℃,阴,东风 1级
3817,2021/6/28, 星期一 ,33℃,23℃,晴,东风 2级
3818,2021/6/29, 星期二 ,32℃,22℃,阴,东风 2级
3819,2021/6/30, 星期三 ,31℃,23℃,多云,南风 2级
3820,2021/7/1, 星期四 ,29℃,23℃,阴,东风 2级
3821,2021/7/2, 星期五 ,25℃,23℃,阴,东北风 2级
